mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
2.375068782098021e+30,1236582240.5891166,292.0288266358461,8191349.126968425,7.121223115303357e+29,0.15559192671569091,0.000298059829020743,0.8241100134552886
2.4885047214638642e+30,1256496083.0076025,291.4090857404704,8182554.681961927,7.43555068050693e+29,0.15570633982018195,0.00030064051837893106,0.8239930196614393
2.6061039336701074e+30,1276537651.297223,290.77700129528023,8173576.841703047,7.759427688575702e+29,0.15582289891538248,0.00030330082471486357,0.8238738002599029
2.7279675815020254e+30,1296706214.4863443,290.13259558151753,8164414.206448894,8.092955553153825e+29,0.15594137808332928,0.0003060426120347578,0.8237525793046362
2.854197556558475e+30,1317001040.1936884,289.4758145777621,8155065.4156461675,8.436228514687958e+29,0.1560617580310439,0.00030886822479470164,0.8236293737441616
2.98489643173547e+30,1337421400.4860108,288.8065183237088,8145529.149624097,8.789334175366589e+29,0.15618425396436078,0.000311780564025717,0.8235039654716138
3.120167412301766e+30,1357966565.8959472,288.12483023036117,8135804.130052401,9.15235233009344e+29,0.15630839628210003,0.0003147812348477996,0.8233768224830523
3.2601142855863454e+30,1378635808.849021,287.43051979520413,8125889.121577943,9.525355155450251e+29,0.15643465618212285,0.00031787383676496183,0.8232474699811124
3.4048413692990413e+30,1399428407.9536204,286.7235969191135,8115782.931967725,9.908407631030196e+29,0.15656288043647035,0.00032106080022010813,0.8231160587633097
3.5544534585069404e+30,1420343640.0022922,286.0040608053072,8105484.4089189265,1.0301566025653514e+30,0.1566929520421389,0.00032434471979274424,0.8229827032380685
3.7090557712915157e+30,1441380781.8185623,285.2718770487785,8094992.441657971,1.0704877880946156e+30,0.15682485181668238,0.0003277284912933914,0.8228474196920245
3.8687538931122754e+30,1462539112.4340196,284.5269921457894,8084305.964613859,1.1118382098374107e+30,0.15695862075277411,0.0003312152441350462,0.822710164003091
4.033653719905932e+30,1483817922.1433072,283.7691334713352,8073423.958781917,1.154211027127703e+30,0.15709489763778994,0.00033480951280202576,0.8225702928494082
